Edge Label,Good,Fisher Prices,New Prices,Capacity
e301,"V007_12_arr, V007_12",0.0,0.0,1.0
e302,"V007_13, V007_13_dep",0.0,0.0,2.0
e303,"V007_13, V007_14",0.0,0.0,8.0
e304,"V003_12_dep, V007_56_arr",0.0,0.0,5.0
e305,"V003_12_arr, V003_12",0.0,0.0,2.0
e306,"V003_13, V003_13_dep",0.0,0.0,1.0
e307,"V003_13, V003_14",0.0,0.0,8.0
e308,"V002_12_dep, V006_36_arr",0.0,0.0,3.0
e309,"V002_12_dep, V007_50_arr",0.0,0.0,3.0
e310,"V002_12_arr, V002_12",0.0,0.0,1.0
e311,"V002_13, V002_13_dep",0.0,0.0,5.0
e312,"V002_13, V002_14",0.0,0.0,8.0
e313,"V005_13_dep, V003_37_arr",0.0,0.0,4.0
e314,"V005_13_dep, V004_41_arr",0.0,0.0,5.0
e315,"V005_13_arr, V005_13",0.0,0.0,3.0
e316,"V005_14, V005_14_dep",0.0,0.0,2.0
e317,"V005_14, V005_15",0.0,0.0,8.0
e318,"V004_13_dep, V002_22_arr",0.0,0.0,2.0
e319,"V004_13_arr, V004_13",0.0,0.0,1.0
e320,"V004_14, V004_14_dep",0.0,0.0,5.0
e321,"V004_14, V004_15",0.0,0.0,8.0
e322,"V006_13_arr, V006_13",0.0,0.0,1.0
e323,"V006_14, V006_14_dep",0.0,0.0,4.0
e324,"V006_14, V006_15",0.0,0.0,8.0
e325,"V007_13_dep, V002_51_arr",0.0,0.0,3.0
e326,"V007_13_arr, V007_13",0.0,0.0,1.0
e327,"V007_14, V007_14_dep",0.0,0.0,2.0
e328,"V007_14, V007_15",0.0,0.0,8.0
e329,"V003_13_dep, V007_57_arr",0.0,0.0,5.0
e330,"V003_13_arr, V003_13",0.0,0.0,2.0
e331,"V003_14, V003_14_dep",0.0,0.0,1.0
e332,"V003_14, V003_15",0.0,0.0,8.0
e333,"V002_13_dep, V006_37_arr",0.0,0.0,3.0
e334,"V002_13_dep, V007_51_arr",0.0,0.0,3.0
e335,"V002_13_arr, V002_13",0.0,0.0,1.0
e336,"V002_14, V002_14_dep",0.0,0.0,5.0
e337,"V002_14, V002_15",0.0,0.0,8.0
e338,"V005_14_dep, V003_38_arr",0.0,0.0,4.0
e339,"V005_14_dep, V004_42_arr",0.0,0.0,5.0
e340,"V005_14_arr, V005_14",0.0,0.0,3.0
e341,"V005_15, V005_15_dep",0.0,0.0,2.0
e342,"V005_15, V005_16",0.0,0.0,8.0
e343,"V004_14_dep, V002_23_arr",0.0,0.0,2.0
e344,"V004_14_arr, V004_14",0.0,0.0,1.0
e345,"V004_15, V004_15_dep",0.0,0.0,5.0
e346,"V004_15, V004_16",0.0,0.0,8.0
e347,"V006_14_arr, V006_14",0.0,0.0,1.0
e348,"V006_15, V006_15_dep",0.0,0.0,4.0
e349,"V006_15, V006_16",0.0,0.0,8.0
e350,"V007_14_dep, V002_52_arr",0.0,0.0,3.0
e351,"V007_14_arr, V007_14",0.0,0.0,1.0
e352,"V007_15, V007_15_dep",0.0,0.0,2.0
e353,"V007_15, V007_16",0.0,0.0,8.0
e354,"V003_14_dep, V007_58_arr",0.0,0.0,5.0
e355,"V003_14_arr, V003_14",0.0,0.0,2.0
e356,"V003_15, V003_15_dep",0.0,0.0,1.0
e357,"V003_15, V003_16",0.0,0.0,8.0
e358,"V002_14_dep, V006_38_arr",0.0,0.0,3.0
e359,"V002_14_dep, V007_52_arr",0.0,0.0,3.0
