Edge Label, Good, Fisher Prices, New Prices, Capacity
e287: V003_5_dep, V004_12_arr, 0.0, 0.0, 3.0

e288: V003_5_dep, V005_29_arr, 0.0, 0.0, 3.0

e289: V003_5_dep, V006_27_arr, 0.0, 0.0, 5.0

e290: V003_5_dep, V007_49_arr, 0.0, 0.0, 4.0

e291: V003_5_arr, V003_5, 0.0, 0.0, 3.0

e292: V003_6, V003_6_dep, 0.0, 0.0, 1.0

e293: V003_6, V003_7, 0.0, 0.0, 8.0

e294: V004_5_dep, V001_13_arr, 0.0, 0.0, 4.0

e295: V004_5_dep, V002_14_arr, 0.0, 0.0, 5.0

e296: V004_5_dep, V003_12_arr, 0.0, 0.0, 3.0

e297: V004_5_dep, V005_33_arr, 0.0, 0.0, 4.0

e298: V004_5_dep, V006_33_arr, 0.0, 0.0, 5.0

e299: V004_5_dep, V007_44_arr, 0.0, 0.0, 5.0

e300: V004_5_arr, V004_5, 0.0, 0.0, 1.0

e301: V004_6, V004_6_dep, 0.0, 0.0, 5.0

e302: V004_6, V004_7, 0.0, 0.0, 8.0

e303: V005_5_dep, V001_26_arr, 0.0, 0.0, 4.0

e304: V005_5_dep, V002_26_arr, 0.0, 0.0, 2.0

e305: V005_5_dep, V003_29_arr, 0.0, 0.0, 2.0

e306: V005_5_dep, V004_33_arr, 0.0, 0.0, 3.0

e307: V005_5_dep, V006_20_arr, 0.0, 0.0, 2.0

e308: V005_5_dep, V007_55_arr, 0.0, 0.0, 4.0

e309: V005_5_arr, V005_5, 0.0, 0.0, 1.0

e310: V005_6, V005_6_dep, 0.0, 0.0, 5.0

e311: V005_6, V005_7, 0.0, 0.0, 8.0

e312: V006_5_dep, V001_26_arr, 0.0, 0.0, 5.0

e313: V006_5_dep, V002_29_arr, 0.0, 0.0, 2.0

e314: V006_5_dep, V003_27_arr, 0.0, 0.0, 3.0

e315: V006_5_dep, V004_33_arr, 0.0, 0.0, 2.0

e316: V006_5_dep, V005_20_arr, 0.0, 0.0, 2.0

e317: V006_5_dep, V007_65_arr, 0.0, 0.0, 4.0

e318: V006_5_arr, V006_5, 0.0, 0.0, 1.0

e319: V006_6, V006_6_dep, 0.0, 0.0, 2.0

e320: V006_6, V006_7, 0.0, 0.0, 8.0

e321: V007_5_dep, V001_47_arr, 0.0, 0.0, 2.0

e322: V007_5_dep, V002_43_arr, 0.0, 0.0, 3.0

e323: V007_5_dep, V003_49_arr, 0.0, 0.0, 2.0

e324: V007_5_dep, V004_44_arr, 0.0, 0.0, 4.0

e325: V007_5_dep, V005_55_arr, 0.0, 0.0, 3.0

e326: V007_5_dep, V006_65_arr, 0.0, 0.0, 5.0

e327: V007_5_arr, V007_5, 0.0, 0.0, 2.0

e328: V007_6, V007_6_dep, 0.0, 0.0, 2.0

e329: V007_6, V007_7, 0.0, 0.0, 8.0

e330: V001_6_dep, V002_11_arr, 0.0, 0.0, 3.0

e331: V001_6_dep, V003_10_arr, 0.0, 0.0, 2.0

e332: V001_6_dep, V004_14_arr, 0.0, 0.0, 3.0

e333: V001_6_dep, V005_27_arr, 0.0, 0.0, 4.0

e334: V001_6_dep, V006_27_arr, 0.0, 0.0, 2.0

e335: V001_6_dep, V007_48_arr, 0.0, 0.0, 4.0

e336: V001_6_arr, V001_6, 0.0, 0.0, 1.0

e337: V001_7, V001_7_dep, 0.0, 0.0, 5.0

e338: V001_7, V001_8, 0.0, 0.0, 8.0

e339: V002_6_dep, V001_11_arr, 0.0, 0.0, 3.0

e340: V002_6_dep, V003_14_arr, 0.0, 0.0, 2.0

e341: V002_6_dep, V004_15_arr, 0.0, 0.0, 4.0

e342: V002_6_dep, V005_27_arr, 0.0, 0.0, 3.0

e343: V002_6_dep, V006_30_arr, 0.0, 0.0, 2.0

e344: V002_6_dep, V007_44_arr, 0.0, 0.0, 2.0

e345: V002_6_arr, V002_6, 0.0, 0.0, 2.0

e346: V002_7, V002_7_dep, 0.0, 0.0, 2.0

e347: V002_7, V002_8, 0.0, 0.0, 8.0

e348: V003_6_dep, V001_10_arr, 0.0, 0.0, 3.0

e349: V003_6_dep, V002_14_arr, 0.0, 0.0, 2.0

e350: V003_6_dep, V004_13_arr, 0.0, 0.0, 3.0

e351: V003_6_dep, V005_30_arr, 0.0, 0.0, 3.0

e352: V003_6_dep, V006_28_arr, 0.0, 0.0, 5.0

e353: V003_6_dep, V007_50_arr, 0.0, 0.0, 4.0

e354: V003_6_arr, V003_6, 0.0, 0.0, 3.0

e355: V003_7, V003_7_dep, 0.0, 0.0, 1.0

e356: V003_7, V003_8, 0.0, 0.0, 8.0

e357: V004_6_dep, V001_14_arr, 0.0, 0.0, 4.0

e358: V004_6_dep, V002_15_arr, 0.0, 0.0, 5.0

e359: V004_6_dep, V003_13_arr, 0.0, 0.0, 3.0

e360: V004_6_dep, V005_34_arr, 0.0, 0.0, 4.0

